Departement; Nombre de déclarants;Blanc;Rouge/Rosé;total;;
Ain;606;3641,58;10 965;14 606;; 
Aisne;524;183,79;21;205;; 
Allier;257;775,13;1 470;2 245;; 
Alpes De Haute-Provence;15;88,02;1 576;1 664;; 
Hautes Alpes;9;85,37;57;142;; 
Alpes Maritimes;17;0;12;12;; 
Ardosche;381;4064,33;61 615;65 680;;
Ardennes;6;8,93;12;21;; 
Arige;14;0;24;24;; 
Aube;1 374;569,44;997;1 566;; 
Aude;815;52841,13;318 134;370 975;; 
Aveyron;662;127,37;2 080;2 207;; 
Bouches Du Rhone;153;2521,01;14 508;17 029;; 
Calvados;1;5,45;0;5;;
Cantal;22;12,66;30;42;; 
Charente;2 392;871,69;8 491;9 363;; 
Charente Maritime;2 654;3036,27;16 407;19 444;; 
Cher;559;1172,3;6 581;7 753;; 
Corrseze;26;0;0;0;; 
Cote D Or;1 873;1339,57;4 552;5 892;; 
